season,competition,phase,round,match_id,match_date_utc,match_date_local,home_team,away_team,home_score,away_score,result,source_url
2012-2013,Liga FUTVE,Apertura,Jornada 10,SMKFJFm3,2012-10-21T21:30:00+00:00,2012-10-21T17:30:00-04:00,Caracas,La Guaira,3,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 10,IBDSGDXL,2012-10-21T21:30:00+00:00,2012-10-21T17:30:00-04:00,Dep. Anzoátegui,Miranda,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 10,d2CWFXnS,2012-10-21T22:30:00+00:00,2012-10-21T18:30:00-04:00,Aragua,Yaracuyanos,3,1,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 10,zmONHgIF,2012-10-21T22:30:00+00:00,2012-10-21T18:30:00-04:00,Lara,Trujillanos,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 10,EeEcBieq,2012-10-21T22:30:00+00:00,2012-10-21T18:30:00-04:00,Zamora,Llaneros,0,2,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 11,hnD1ABAk,2012-10-27T20:00:00+00:00,2012-10-27T16:00:00-04:00,La Guaira,El Vigía,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 11,zB269VPe,2012-10-27T22:30:00+00:00,2012-10-27T18:30:00-04:00,Mineros,Zulia,3,1,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 11,lE6A8ku2,2012-10-28T20:30:00+00:00,2012-10-28T16:30:00-04:00,Dep. Táchira,Atl. Venezuela,0,3,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 11,bql1VCnF,2012-10-28T20:30:00+00:00,2012-10-28T16:30:00-04:00,Llaneros,Dep. Anzoátegui,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 11,xzm5UW1L,2012-10-28T20:30:00+00:00,2012-10-28T16:30:00-04:00,Miranda,Portuguesa,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 11,2HfhXYH2,2012-10-28T21:00:00+00:00,2012-10-28T17:00:00-04:00,Trujillanos,Caracas,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 11,Wdn9TjHR,2012-10-28T21:30:00+00:00,2012-10-28T17:30:00-04:00,Estudiantes M.,Lara,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 11,6kwyPAPr,2012-10-28T21:30:00+00:00,2012-10-28T17:30:00-04:00,Monagas,Aragua,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 11,t8gdWhX8,2012-10-28T21:30:00+00:00,2012-10-28T17:30:00-04:00,Yaracuyanos,Zamora,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 12,SKF7xUgr,2012-11-03T22:30:00+00:00,2012-11-03T18:30:00-04:00,Aragua,Dep. Táchira,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 12,lESuOUvk,2012-11-04T19:30:00+00:00,2012-11-04T15:30:00-04:00,Atl. Venezuela,Mineros,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 12,S4RqNlfe,2012-11-04T19:30:00+00:00,2012-11-04T15:30:00-04:00,Portuguesa,Llaneros,3,1,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 12,dvWmM891,2012-11-04T20:00:00+00:00,2012-11-04T16:00:00-04:00,Zulia,La Guaira,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 12,zVUiLSO7,2012-11-04T20:30:00+00:00,2012-11-04T16:30:00-04:00,El Vigía,Trujillanos,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 12,xz9zpC18,2012-11-04T21:30:00+00:00,2012-11-04T17:30:00-04:00,Caracas,Estudiantes M.,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 12,p0CrrjWK,2012-11-04T21:30:00+00:00,2012-11-04T17:30:00-04:00,Lara,Miranda,3,2,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 12,OjBnsAoR,2012-11-04T22:30:00+00:00,2012-11-04T18:30:00-04:00,Zamora,Monagas,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 12,jwDvqWGE,2012-11-05T00:00:00+00:00,2012-11-04T20:00:00-04:00,Dep. Anzoátegui,Yaracuyanos,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 9,Mqbl3f3M,2012-11-07T23:30:00+00:00,2012-11-07T19:30:00-04:00,Dep. Anzoátegui,Caracas,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 13,6BEByl9l,2012-11-10T19:30:00+00:00,2012-11-10T15:30:00-04:00,La Guaira,Atl. Venezuela,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 13,O6aAdkoE,2012-11-11T20:30:00+00:00,2012-11-11T16:30:00-04:00,Llaneros,Lara,3,3,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 13,0WMwuNFt,2012-11-11T20:30:00+00:00,2012-11-11T16:30:00-04:00,Miranda,Caracas,4,1,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 13,d07OYog7,2012-11-11T20:30:00+00:00,2012-11-11T16:30:00-04:00,Trujillanos,Zulia,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 13,zi6SX58D,2012-11-11T20:30:00+00:00,2012-11-11T16:30:00-04:00,Yaracuyanos,Portuguesa,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 13,reCrvsVn,2012-11-11T21:30:00+00:00,2012-11-11T17:30:00-04:00,Estudiantes M.,El Vigía,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 13,0YDFz8Of,2012-11-11T21:30:00+00:00,2012-11-11T17:30:00-04:00,Mineros,Aragua,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 13,ttVow1pg,2012-11-11T21:30:00+00:00,2012-11-11T17:30:00-04:00,Monagas,Dep. Anzoátegui,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 14,WUNbzaUB,2012-11-17T20:00:00+00:00,2012-11-17T16:00:00-04:00,Zulia,Estudiantes M.,3,1,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 14,MajLi0an,2012-11-18T00:00:00+00:00,2012-11-17T20:00:00-04:00,Aragua,La Guaira,3,1,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 14,z3UkxLaa,2012-11-18T19:30:00+00:00,2012-11-18T15:30:00-04:00,Atl. Venezuela,Trujillanos,0,4,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 14,4rM6YxaO,2012-11-18T19:30:00+00:00,2012-11-18T15:30:00-04:00,El Vigía,Miranda,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 14,EgTgyuF5,2012-11-18T19:30:00+00:00,2012-11-18T15:30:00-04:00,Portuguesa,Monagas,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 14,ALM2ZIqI,2012-11-18T21:30:00+00:00,2012-11-18T17:30:00-04:00,Caracas,Llaneros,4,1,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 14,r9iHhtpt,2012-11-18T21:30:00+00:00,2012-11-18T17:30:00-04:00,Dep. Anzoátegui,Dep. Táchira,3,2,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 14,IoQAXdEU,2012-11-18T21:30:00+00:00,2012-11-18T17:30:00-04:00,Lara,Yaracuyanos,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
